Request id,Pickup point,Driver id,Driver Assigned,Status,Request timestamp,Hours,Drop timestamp,Duration,Day of Week,Cateory
619,Airport,1,Assigned,Trip Completed,2016-07-11 11:51:00,11:51,2016-07-11 13:00:00,68,Monday,Long
867,Airport,1,Assigned,Trip Completed,2016-07-11 17:57:00,17:57,2016-07-11 18:47:00,49,Monday,Long
1807,City,1,Assigned,Trip Completed,2016-07-12 09:17:00,9:17,2016-07-12 09:58:00,40,Tuesday,Medium
2532,Airport,1,Assigned,Trip Completed,2016-07-12 21:08:00,21:08,2016-07-12 22:03:00,54,Tuesday,Long
3112,City,1,Assigned,Trip Completed,2016-07-13 08:33:16,8:33,2016-07-13 09:25:47,52,Wednesday,Long
3879,Airport,1,Assigned,Trip Completed,2016-07-13 21:57:28,21:57,2016-07-13 22:28:59,31,Wednesday,Medium
4270,Airport,1,Assigned,Trip Completed,2016-07-14 06:15:32,6:15,2016-07-14 07:13:15,57,Thursday,Long
5510,Airport,1,Assigned,Trip Completed,2016-07-15 05:11:52,5:11,2016-07-15 06:07:52,55,Friday,Long
6248,City,1,Assigned,Trip Completed,2016-07-15 17:57:27,17:57,2016-07-15 18:50:51,53,Friday,Long
267,City,2,Assigned,Trip Completed,2016-07-11 06:46:00,6:46,2016-07-11 07:25:00,39,Monday,Medium
1467,Airport,2,Assigned,Trip Completed,2016-07-12 05:08:00,5:08,2016-07-12 06:02:00,53,Tuesday,Long
1983,City,2,Assigned,Trip Completed,2016-07-12 12:30:00,12:30,2016-07-12 12:57:00,26,Tuesday,Medium
2784,Airport,2,Assigned,Trip Completed,2016-07-13 04:49:20,4:49,2016-07-13 05:23:03,33,Wednesday,Medium
3075,City,2,Assigned,Trip Completed,2016-07-13 08:02:53,8:02,2016-07-13 09:16:19,73,Wednesday,Long
3379,City,2,Assigned,Trip Completed,2016-07-13 14:23:02,14:23,2016-07-13 15:35:18,72,Wednesday,Long
3482,Airport,2,Assigned,Trip Completed,2016-07-13 17:23:18,17:23,2016-07-13 18:20:51,57,Wednesday,Long
4652,City,2,Assigned,Trip Completed,2016-07-14 12:01:02,12:01,2016-07-14 12:36:46,35,Thursday,Medium
5335,Airport,2,Assigned,Trip Completed,2016-07-14 22:24:13,22:24,2016-07-14 23:18:52,54,Thursday,Long
535,Airport,3,Assigned,Trip Completed,2016-07-11 10:00:00,10:00,2016-07-11 10:31:00,31,Monday,Medium
960,Airport,3,Assigned,Trip Completed,2016-07-11 18:45:00,18:45,2016-07-11 19:23:00,37,Monday,Medium
1934,Airport,3,Assigned,Trip Completed,2016-07-12 11:17:00,11:17,2016-07-12 12:23:00,66,Tuesday,Long
2083,Airport,3,Assigned,Trip Completed,2016-07-12 15:46:00,15:46,2016-07-12 16:40:00,53,Tuesday,Long
2211,Airport,3,Assigned,Trip Completed,2016-07-12 18:00:00,18:00,2016-07-12 18:28:00,27,Tuesday,Medium
3096,Airport,3,Assigned,Trip Completed,2016-07-13 08:17:29,8:17,2016-07-13 09:22:37,65,Wednesday,Long
3881,Airport,3,Assigned,Trip Completed,2016-07-13 21:54:18,21:54,2016-07-13 22:51:23,57,Wednesday,Long
5254,City,3,Assigned,Trip Completed,2016-07-14 21:23:03,21:23,2016-07-14 22:25:19,62,Thursday,Long
5434,City,3,Assigned,Trip Completed,2016-07-15 02:41:38,2:41,2016-07-15 03:24:43,43,Friday,Medium
5916,City,3,Assigned,Trip Completed,2016-07-15 10:00:43,10:00,2016-07-15 10:53:06,52,Friday,Long
